TITULO,DESCRICAO,CATEGORIA
Preço da mensalidade,Preço da mensalidade com a bolsa é bem atrativo - A jantinha do lado de fora da faculdade é bem boa,Positivo
Desisti,Sistemas da unip não funcionam como deveriam e você que se vire - Equipamento para fazer carteirinha não funciona/não tem suprimento - Pessoal da coordenação de curso meio perdido - Um dos professores do primeiro semestre não tem didática,Negativo
"Otima administração, professores qualificados, boa estrutura e super pontuais",Alguns professores são super compreensivos e fazem a aula fluir de maneira que todos os alunos interajam e saibam de todos os assuntos. Eles nos dão muitas referencias de pesquisas para que possamos adquirir conhecimento dentro e fora da sala de aula. Informo também que a plataforma de comunicação entre aluno é professor é extremamente eficiente.,Positivo
Alguns alumnos um pouco excluidos,"Alguns professores não entende que alguns alunos vieram de escola pública e alguns não tem base das matérias que aplicadas em aula e isso nos deixam um pouco ""excluídos"".",Negativo
"Bons professores, estrutura razoavel.","Bons professores, estrutura bem grande, muitas salas e blocos. alunos que não conseguem a media 7 tem uma chance a mais pra não pegar DPs",Positivo
Cadeiras e ventiladores ruins,"Cadeiras e ventiladores ruins; app mobile do portal do aluno péssimo; secretária confusa ; pra que entra no 2 semestre fica perdido pq não tem suporte, Ninguém pra fazer integração.",Negativo
"Boas aulas, gosto do que faço""","Os professores sao bons, a estrutura é boa e bem distribuida, otiimaa comida e também, laboratórios de ultima geração ?",Positivo
"Quando as aulas acabam, ja vão fechando tudo e apagando todas as luzes","Quando as aulas acabam, ja vão fechando tudo e apagando todas as luzes, muitas vezes tem alunos fazendo pesquisas e trabalhos..isso me incomoda um pouco mas eu entendo a necessidade de cada trabalhador ir para sua casa e sua família. Considerem isso como uma observação ??",Negativo
Uma faculdade que te capacita,"Um ensino bom, com boa parte dos profissionais aptos a ensinar. Possuem uma boa assistência ao aluno quando precisar. Uma faculdade com ambientes bons para estudo, como biblioteca e espaços amplos para permanência.",Positivo
Grande passagem de vento,"Algumas salas não são bem localizadas em relação ao seu curso e assistência do mesmo. Por ser uma faculdade aberta em seus corredores, ha grande passagem de vento e nos dias frios são terríveis a saúde.",Negativo
"Melhor universidade e melhores professores, melhor estrutura","Temos computadores e internet disponíveis sempre que precisamos, biblioteca ampla, ótima estrutura, todos os funcionários excelentes, sem exceção de nenhum, ótima segurança e etc Indico sempre a faculdade",Positivo
pessoal que vai de onibus anda muito,"O estacionamento é muito grande e o pessoal que vai de onibus anda muito, os valores dos lanches são um tanto carinhos, podia ser mais barato e devis ter rampa para os cadeirantes, mas pelo menos tem elevador",Negativo
Ótima estrutura,"Estrutura excelente, com grandes espaços, biblioteca ótima, espaços interativos excelentes. Trazem palestras com frequência, e aulas super interessantes.",Positivo
A secretaria e alguns profesores acabam deixando a desejar.,A secretaria demora um tempo para responder às solicitações. Alguns professores não são tão bons e acabam deixando a desejar.,Negativo
Professores ótimos e salas espaçosas,"os professores são ótimos, os profissionais que trabalham na direção também, o site é acessível tanto por celular como por computador o material é de facil entendimento. As salas são espaçosas e climatizadas.",Positivo
Professores EAD deixam muito a desejar,"Meu curso é Semi Presencial os professores EAD deixam muito a desejar, não parecem se sentir a vontade e acabam não passando o conhecimento necessário, a estrutura deixa a desejar pois nós alunos precisamos de um lugar para ficar antes de entrarmos para sala de aula, tem pessoas que não tem tempo, um espaço para isso seria ótimo os alunos ficam nos corredores.",Negativo
Ótima estrutura e grande parte dos professores muito bem preparados,É sempre limpa e organizada Tem muitos laboratórios para todas as áreas E coordenadores atenciosos e qualificados principalmente para o curso de Arquitetura.,Positivo
As funcionárias da Secretaria são muito desorganizadas,As funcionárias da Secretaria são muito desorganizadas e as vezes mal educadas. Alguns professores mais antigos não têm muita versatilidade na hora de ensinar apesar da grande experiência falta um pouco de didática.,Negativo
ótimo lugar para se começar uma faculdade,"A unip é um ótimo lugar para se começar uma faculdade, eles são bem prestativos, o campi é maravilhoso, e enorme. eles atendem bem seus alunos e principalmente as pessoas que querem ingressar na faculdade.",Positivo
"Ambiente muito bom, os professores são excelentes","Ambiente muito bom, os professores são excelentes, atlética muito unida e proporciona uma experiência de fraternidade",Positivo
O único defeito PARA MIM é que fica longe de minha cidade,"A questão de assistência com o auxílio transporte, acredito que a faculdade poderia custear a locomoção do aluno",Negativo
ótimos professore e ótima estrutura,"Aulas maravilhosa, professores maravilhosos, ótima estrutura",Positivo
Salas bagunçadas,"Salas as vezes bagunçadas, portas estragadas, banheiro só o nojo, atendimento demorado",Negativo
Se esforçando ao máximo,"Consegui fechar em todas as matérias do terceiro semestre e estou muito feliz,...até aquela matéria de Ed do segundo semestre, estou indo para o quarto semestre muito confiante.",Neutro
matérias a distância na Unip não são cobradas as porcentagens da mensalidade.,"No segundo semestre fiquei em uma matéria de ED ensino a distância, não sabia como funcionava direito e acabei em Dp, porém matérias a distância na Unip não são cobradas as porcentagens da mensalidade.",Positivo
Ótima estrutura e ensino ,"Ensino ótimo, ótima estrutura, salas grandes e limpas, funcionários muito educados. Desde que entrei não tive reclamações sobre o aprendizado, gosto muito e não penso em mudar de faculdade pois estou satisfeita lá.",Positivo
"Secretaria desorganizada, sistema de notas um pouco injusto","Secretaria um pouco desorganizadas e confusa, acho o sistema de notas um pouco injusto, o jeito que os professores avaliam e etc.",Negativo
grau de satisfação,"ótima estrutura, salas de informatica a disposição dos alunos,na biblioteca tem todos os livros a disposição dos alunos o que facilita para estudar e ótimo ambiente ...",Positivo
algumas salas são pequenas,em algumas salas são pequenas e alguns cursos tem junção com outro e a sala fica super lotada devido a quantidade de alunos,Negativo
"Otimos professores, empregabilidade e localização, nota 10",Aprendizado de qualidade Professores dedicados Empregabilidade Estrutura muito boa para os alunos Estrutura boa para os professores darem aula.,Positivo
Falta de recursos para facilitar o aluno de pagar a faculdade.,Atividades praticas supervisionadas(APS) todo semestre. Falta de avisos sobre escola da familia e outros recursos para facilitar o aluno de pagar a faculdade.,Negativo
Excelência em planejamento de provas,O campus da universidade é de ótima localização e professores são de ótima didática. As provas são subdividas com maiores oportunidades do aluno se recuperar com as notas e não pegar dependências.,Positivo
grade curricular escassa,"Falta de informações e engajamento do coordenador do curso e da secretaria da faculdade, grade curricular escassa.",Negativo
Vem melhorando gradativamente no curso de Direito,"Os professores são demais, as lanchonetes são bem baratinhas , a secretaria online ajuda bastante a resolver as coisas fora da faculdade, a galera da cordenação é bem prestativa, faculdade muito bem localizada, parada de ônibus bem pertinho.",Positivo
biblioteca desatualizada,"A biblioteca é bem desatualizada, o jeito é ir na base do PDF, a estrutura parece que está precisando de uma reformas pequenas, sinto falta de trabalhos mais externos.",Negativo
A Unip e uma ótima faculdade! Os professores e o local são incríveis! Recomendo!,"A Unip e uma faculdade reconhecida pelo MC ! E já e 4 anos reconhecida como uma das melhores faculdade privadas para se estudar, ela também possui ótimos professores que te ajudam e te orientam o tempo todo ! A infraestrutura da Unip e muito bem organizada e comprometida com o aluno,trazendo o maximo de conforto e segurança. Eu escolhi estudar na Unip por que realmente lá o meu futuro e garantido, e sei que posso contar com com ajuda e apoio dos professores e a equipe da faculdade ! No primeiro semestre de 2018 eu estava com muitas dificuldades de entender algumas coisas sobre filosofia jurídica, no entanto fui buscar livros que falavam a respeito e também eu pedi ajuda para o professor , fui muito bem auxiliado pelos livros e o professor e minha nota na np2 foi 9,5 ! Fiquei muito feliz por toda ajuda que me deram.",Positivo
alguns ventiladores não funcionam muito bem.,"Alguns alunos que fumam cigarro jogam a bituca na calçada da faculdade, e fora que alguns ventiladores não funcionam muito bem.",Negativo
Unip a sua faculdade paulista,"Cheia de conceitos e de definições, provas muito bem articuladas e preparadas, professores que compreendem os atrasos do aluno",Positivo
poucas bolsas de estudo,A faculdade oferece poucas bolsas de estudo para alunos de baixa rende e também uma quantidade pequena de bolsas destinadas ao prouni,Negativo
Sinceridade,"Os professores do meu curso são maravilhosamente bons. São dedicados aos seus alunos, foi a primeira vez que olhei pra um professor e disse a mim mesma que queria ser como ele. Recomendo muito.",Positivo
ter uma hora a menos de aula,"Tem uma instrutura muito agradável, mas pelo fato de ter uma hora a menos de aula, e às vezes n ter aula no dia de sexta feira, pra mim são pontos negativos. Além de ter q postar no site da faculdade a foto dos trabalhos de uma matéria. Pra mim são pontos negativos.",Negativo
"Universidade nota mil, qualidade top","Material atualizado, professores altamente qualificados, portal EAD intuitivo e de excelente qualidade. A Unip supera qualquer expectativa, mesmo para os mais exigentes. Recomendo de olhos fechados, o atendimento no polo é espetacular.",Positivo
Ótimos professores,"A Unip tem um ótimo grupo docente,que professores bem capacitados,grandes mestres e doutores da educação,sabem explicar o conteúdo muito bem.",Positivo
Catracas com leitores digitais estragados,"As catracas estão quase todas com os leitores digitais estragados,os ares condicionados de algumas salas estão estragados,as masanetas das portaportas saíem fácil,deveria ter secretária no bloco D/E",Negativo
"Bons professores, ensino de qualidade","Os professores em sua maioria explicam tudo muito bem, todos possuem um bom currículo. O ambiente é bem espaçoso, possui bastante espaço no estacionamento, em relação a alimentação existem vários lugares para comprar lanche.",Positivo
As salas não são muito confortáveis,"As salas não são muito confortáveis, em semanas de prova têm bastante trânsito durante a saída, durante o calor as salas ficam bem quentes por não ter ar condicionado e os ventiladores são barulhentos.",Negativo
"Faculdade extremamente cara, acredito que deveria rever os preços ali praticados","Uma boa estrutura com uma boa biblioteca e sala de informatica com bons equipamentos. A faculdade também conta com bons professores com uma boa formação, além de ter um bom reconhecimento no mercado de trabalho.",Positivo
Setor administrativo muito bagunçado,"Setor administrativo muito bagunçado, secretaria nunca disponivel quando você procura, tentar um contato por telefone é quase impossivel, nunca te atendem e caso você vá presencialmente tera que pegar uma fila enorme e enfrentar funcionarios mau humorados. Fora que o preço de reajuste é um absurdo, mensalidade extramente cara. O mesmo curso em outras faculdades particulares é bem mais em conta.",Negativo
Facilidade para estudar,"Proximidade é um ponto alto, não precisa ir longe para poder fazer as provas ou resolver problemas.",Positivo
aulas um pouco superficiais,"Aulas superficiais, não são aprofundadas e assim ficam de dificil entendimento para quem nunca viu o assunto.",Negativo
Faculdade requisitada,"Faculdade limpa em todos os quesitos, muito bem organizada e com profissionais dispostos a tirar todas a dúvidas presentes em sala de aula",Positivo
Muitas escadas para subir até a sala,"Muitas escadas para subir até a sala, deveria ter um elevador para facilitar o acesso até mesmo de pessoas com necessidades especiais",Negativo
Gosto muito de estudar psicologia,"Acho que uma das melhores oportunidades é fazer psicologia na UNIP, pois possui altos profissionais que desencadeiam uma alta profissionaliza-se e um ótimo ensino",Positivo
faculdade ainda não oferece desconto mobilidade,Acesso e o transporte dificultam a nossa locomoção até a faculdad eoois o transporte é muito caro e a faculdade ainda não oferece desconto mobilidade,Negativo
UNIP um lugar de graduação,Não me arrependendo nenhum pouco de ter escolhido a unip como a minha faculdade de graduação até pq ela oferece ótimos professores e uma matéria bem ampla,Positivo
 preço da faculdade ,O preço da faculdade nos deixam um tanto quanto desanimados pois também tem o custo do transporte que não é muito barato,Negativo
Professores excelentes na UNIP,Professores que estão a todo momento designados a formar um profissional altamente capacitando ao mercado de trabalho,Positivo
Secretaria não da a devida atenção aos alunos de psicologia,"Secretaria um pouco não da a devida atenção aos alunos de psicologia, e sim fazem uma assepcao de alunos para obter um bom atendimento",Negativo
Gosto muitonde estudar na UNIP,"Faculdade ao lado da minha casa, gosto bastante de estudar aqui pois Os professores de psicologia são os melhores possíveis",Positivo
Para quem mora longe sofre muito com o trânsito,Para quem mora longe sofre muito com o trânsito e tem que pagar vans para vim estudar o que geralmente não é muito acessível a todos,Neutro
me formar em uma faculdade,A parte boa foi poder aprimorar meus conhecimentos e me formar em uma faculdade.,Neutro
sonho realizado,A oportunidade de ter um sonho realizado. Ter a profissão admirável.,Neutro
aprendi muito,"aprendi muito pelo pouco que estudei gostaria de continuar a estudar para concluir meus estudo ainda tenho uma renda baixa , mas pretendo me organizar e aprender mais ainda quero muito trabalhar no mercado que escolhi que e ciencias contabeis",Neutro
Agora tenho tempo,Agora tenho tempo para estudar de manha ou de tarde pois estou em casa e agora posso me desempenhar mais ainda nos horarios de estudo tempo para fazer trabalho e estudar mais ainda sem ter qu se preocupara em atrapalhar os estudos ,Neutro
Por enquanto tudo certo,Por enquanto tudo certo,Neutro
Precisei parar ,Precisei parar devido financeiramente Não consegui continuar,Neutro
falta de aulas práticas,"A falta de aulas práticas, para melhor aprender aquilo que é dado em sala de aula. ",Positivo
A coordenadoria,A coordenadoria,Neutro
Seria melhor se,Seria melhor se todos os professores desse exemplos atuais,Neutro
O horário,O horário,Neutro
Muito puxado,"era muito puxado, mas não era nem questão do curso e sim de ter que conciliar a faculdade com o trabalho.",Neutro
Aulas práticas.,Aulas práticas.,Neutro
Adquirir mais conhecimento,Adquirir mais conhecimento em várias áreas e ter a formação como arquiteto.,Neutro
O Diploma.,O Diploma.,Neutro
Aprender ampliar a visão.,Aprender ampliar a visão. Encontrar saídas através de raciocínio fora da caixa. Aprender avaliar o mercado e as pessoas. Enxergar o potencial das pessoas e ajudar a elas a alcançar seus objetivos. ,Neutro
me realizar,Aprender a ser a profissional e assim me realizar,Neutro
A experiência adquirida,A experiência adquirida,Neutro
Não obtive nenhum incentivo financeiro,"Não obtive nenhum incentivo financeiro, mesmo requerendo ao Governo ou a própria Universidade.",Neutro
custo beneficio,"No meu caso, eu foquei em custo benefício para que eu pudesse aprender o máximo possível com qualidade, mas que fosse com um foco mais profissional, pois acho que essa deve ser a metodologia do futuro, sem deixar a teoria de lado, mas que um enfoque na aplicabilidade, no meu caso foi muito mais interessante, então não tenho do que reclamar por conta disso.",Neutro
